timestamp,sensor,pressure,temperature,humidity,QNH,QFE,QFF
2024-09-19 16:07:39,습도계,,25.88,49.97,,,
2024-09-19 16:07:39,기압계,1009.6,,,,,
2024-09-19 16:07:39,계산값,1009.6,25.88,49.97,1015.39,1009.6,1015.35
2024-09-19 16:07:49,기압계,1009.59,,,,,
2024-09-19 16:07:49,계산값,1009.59,25.88,49.97,1015.38,1009.59,1015.34
2024-09-19 16:07:49,습도계,,25.88,49.98,,,
2024-09-19 16:07:49,계산값,1009.59,25.88,49.98,1015.38,1009.59,1015.34
2024-09-19 16:07:59,습도계,,25.88,49.63,,,
2024-09-19 16:07:59,계산값,1009.59,25.88,49.63,1015.38,1009.59,1015.34
2024-09-19 16:07:59,기압계,1009.58,,,,,
2024-09-19 16:07:59,계산값,1009.58,25.88,49.63,1015.37,1009.58,1015.33
2024-09-19 16:08:09,습도계,,25.89,49.81,,,
2024-09-19 16:08:09,계산값,1009.58,25.89,49.81,1015.37,1009.58,1015.33
2024-09-19 16:08:09,기압계,1009.59,,,,,
2024-09-19 16:08:09,계산값,1009.59,25.89,49.81,1015.38,1009.59,1015.34
2024-09-19 16:08:19,습도계,,25.89,49.9,,,
2024-09-19 16:08:19,계산값,1009.59,25.89,49.9,1015.38,1009.59,1015.34
2024-09-19 16:08:19,기압계,1009.58,,,,,
2024-09-19 16:08:19,계산값,1009.58,25.89,49.9,1015.37,1009.58,1015.33
2024-09-19 16:08:29,습도계,,25.89,49.65,,,
2024-09-19 16:08:29,계산값,1009.58,25.89,49.65,1015.37,1009.58,1015.33
2024-09-19 16:08:29,기압계,1009.58,,,,,
2024-09-19 16:08:29,계산값,1009.58,25.89,49.65,1015.37,1009.58,1015.33
2024-09-19 16:08:39,습도계,,25.9,49.45,,,
2024-09-19 16:08:39,계산값,1009.58,25.9,49.45,1015.37,1009.58,1015.33
2024-09-19 16:08:39,기압계,1009.57,,,,,
2024-09-19 16:08:39,계산값,1009.57,25.9,49.45,1015.36,1009.57,1015.32
2024-09-19 16:08:49,습도계,,25.91,49.42,,,
2024-09-19 16:08:49,계산값,1009.57,25.91,49.42,1015.36,1009.57,1015.32
2024-09-19 16:08:49,기압계,1009.57,,,,,
2024-09-19 16:08:49,계산값,1009.57,25.91,49.42,1015.36,1009.57,1015.32
2024-09-19 16:08:59,습도계,,25.92,49.41,,,
2024-09-19 16:08:59,계산값,1009.57,25.92,49.41,1015.36,1009.57,1015.32
2024-09-19 16:08:59,기압계,1009.58,,,,,
2024-09-19 16:08:59,계산값,1009.58,25.92,49.41,1015.37,1009.58,1015.33
2024-09-19 16:09:09,습도계,,25.93,49.38,,,
2024-09-19 16:09:09,계산값,1009.58,25.93,49.38,1015.37,1009.58,1015.33
2024-09-19 16:09:09,기압계,1009.58,,,,,
2024-09-19 16:09:09,계산값,1009.58,25.93,49.38,1015.37,1009.58,1015.33
2024-09-19 16:09:19,습도계,,25.94,49.39,,,
2024-09-19 16:09:19,계산값,1009.58,25.94,49.39,1015.37,1009.58,1015.33
2024-09-19 16:09:19,기압계,1009.58,,,,,
2024-09-19 16:09:19,계산값,1009.58,25.94,49.39,1015.37,1009.58,1015.33
2024-09-19 16:09:29,습도계,,25.96,49.44,,,
2024-09-19 16:09:29,계산값,1009.58,25.96,49.44,1015.37,1009.58,1015.33
2024-09-19 16:09:29,기압계,1009.58,,,,,
2024-09-19 16:09:29,계산값,1009.58,25.96,49.44,1015.37,1009.58,1015.33
2024-09-19 16:09:39,습도계,,25.97,49.34,,,
2024-09-19 16:09:39,계산값,1009.58,25.97,49.34,1015.37,1009.58,1015.33
2024-09-19 16:09:39,기압계,1009.58,,,,,
2024-09-19 16:09:39,계산값,1009.58,25.97,49.34,1015.37,1009.58,1015.33
2024-09-19 16:09:48,습도계,,25.99,49.45,,,
2024-09-19 16:09:48,계산값,1009.58,25.99,49.45,1015.36,1009.58,1015.33
2024-09-19 16:09:49,기압계,1009.58,,,,,
2024-09-19 16:09:49,계산값,1009.58,25.99,49.45,1015.36,1009.58,1015.33
2024-09-19 16:09:59,습도계,,25.99,49.66,,,
2024-09-19 16:09:59,계산값,1009.58,25.99,49.66,1015.36,1009.58,1015.33
2024-09-19 16:09:59,기압계,1009.58,,,,,
2024-09-19 16:09:59,계산값,1009.58,25.99,49.66,1015.36,1009.58,1015.33
2024-09-19 16:10:09,기압계,1009.58,,,,,
2024-09-19 16:10:09,계산값,1009.58,25.99,49.66,1015.36,1009.58,1015.33
2024-09-19 16:10:09,습도계,,25.99,49.99,,,
2024-09-19 16:10:09,계산값,1009.58,25.99,49.99,1015.36,1009.58,1015.33
2024-09-19 16:10:19,습도계,,25.98,49.83,,,
